date,price,last_sale_price_in _hour,average_price,sd_of_purchase_prices_in_hour,sd_of _sale_prices_in_hour,number_of_trades,number_of_buys,number_of_sales,number_of_announcements,order_flow,change_price,log_price
10/05/96 11:00,1.518,1.5178,1.5179,0.585364429,0.365459445,223,104,-119,1,-15,-0.00059271,-0.000257411
10/05/96 12:00,1.5166,1.5162,1.5164,0.892858874,0.983962305,238,107,-131,1,-24,-0.000922692,-0.00040072
10/05/96 13:00,1.5165,1.5165,1.5165,0.861772311,0.631676461,154,72,-82,4,-10,-6.59E-05,-2.8637E-05
10/05/96 14:00,1.5174,1.5176,1.5175,0.473862274,0.531649805,259,112,-147,2,-35,0.000593296,0.000257665
10/05/96 15:00,1.5235,1.525,1.52425,1.983263304,2.229281716,643,374,-269,3,105,0.004011976,0.001742379
10/05/96 16:00,1.5259,1.526,1.52595,1.285937931,1.236165871,366,215,-151,1,64,0.00157408,0.000683614
10/05/96 17:00,1.5269,1.526,1.52645,0.647313797,0.533357007,199,107,-92,0,15,0.000655136,0.000284522
10/05/96 18:00,1.5267,1.5269,1.5268,0.545690185,0.748695836,88,40,-48,0,-8,-0.000130993,-5.68895E-05
13/05/96 6:00,1.5272,1.5284,1.5278,0.83323809,0.116904519,25,12,-13,0,-1,0.00032745,0.00014221
13/05/96 7:00,1.5291,1.529,1.52905,0.347610894,0.531649805,80,43,-37,0,6,0.001243334,0.000539973
13/05/96 8:00,1.5321,1.533,1.53255,1.162383914,1.150888984,465,261,-204,1,57,0.001960016,0.000851224
13/05/96 9:00,1.5337,1.5335,1.5336,0.503623236,0.401040314,551,315,-236,1,79,0.001043773,0.000453305
13/05/96 10:00,1.5328,1.5328,1.5328,0.362963392,0.877323754,334,202,-132,2,70,-0.000586988,-0.000254926
13/05/96 11:00,1.5326,1.5317,1.53215,0.393892771,0.433449868,299,124,-175,1,-51,-0.000130489,-5.66705E-05
13/05/96 12:00,1.5327,1.5333,1.533,0.44890439,0.573862511,241,115,-126,2,-11,6.52E-05,2.83362E-05
13/05/96 13:00,1.5322,1.5327,1.53245,0.349891758,0.299494524,183,94,-89,1,5,-0.000326275,-0.000141699
13/05/96 14:00,1.5323,1.5322,1.53225,0.280691786,0.324270744,189,95,-94,0,1,6.53E-05,2.83436E-05
13/05/96 15:00,1.5315,1.5317,1.5316,0.279610118,0.338781238,292,129,-163,2,-34,-0.000522227,-0.0002268
13/05/96 16:00,1.5345,1.5332,1.53385,0.901513878,0.617669128,336,180,-156,2,24,0.001956948,0.000849892
13/05/96 17:00,1.5317,1.5314,1.53155,1.042832681,1.052378259,166,65,-101,2,-36,-0.001826365,-0.00079318
13/05/96 18:00,1.5318,1.5319,1.53185,0.336987546,0.545157748,70,36,-34,0,2,6.53E-05,2.83528E-05
14/05/96 6:00,1.5323,1.5326,1.53245,0.530722778,0.398329847,20,9,-11,0,-2,0.00032636,0.000141736
14/05/96 7:00,1.5339,1.5337,1.5338,0.575970854,0.992975327,142,72,-70,1,2,0.001043637,0.000453246
14/05/96 8:00,1.534,1.5335,1.53375,0.720006313,0.360450055,254,136,-118,0,18,6.52E-05,2.83122E-05
14/05/96 9:00,1.5335,1.534,1.53375,0.645731908,0.567490489,242,101,-141,2,-40,-0.000325998,-0.000141579
14/05/96 10:00,1.5329,1.533,1.53295,0.496273996,0.723417814,231,98,-133,2,-35,-0.000391338,-0.000169956
14/05/96 11:00,1.5332,1.5335,1.53335,0.617669128,0.418872947,250,143,-107,1,36,0.000195688,8.49864E-05
14/05/96 12:00,1.5343,1.5338,1.53405,0.556163808,0.296443566,210,121,-89,0,32,0.000717196,0.000311474
14/05/96 13:00,1.5356,1.5355,1.53555,0.397339638,0.480214598,529,296,-233,5,63,0.000846933,0.000367818
14/05/96 14:00,1.5347,1.5347,1.5347,0.624439142,0.565417518,511,235,-276,3,-41,-0.000586262,-0.00025461
14/05/96 15:00,1.5353,1.5353,1.5353,0.331205329,0.61218684,314,160,-154,1,6,0.000390879,0.000169757
14/05/96 16:00,1.5368,1.5368,1.5368,0.655686085,0.747521156,328,177,-151,1,26,0.000976531,0.000424102
14/05/96 17:00,1.5354,1.5353,1.53535,0.461880215,0.365459445,222,116,-106,0,10,-0.000911399,-0.000395816
14/05/96 18:00,1.535,1.5347,1.53485,0.777525212,0.716684284,133,64,-69,0,-5,-0.000260552,-0.000113156
15/05/96 6:00,1.5319,1.5321,1.532,0.731512892,0.525357021,32,23,-9,0,14,-0.002021586,-0.000877964
15/05/96 7:00,1.5331,1.5325,1.5328,0.544114516,0.543487615,110,50,-60,1,-10,0.000783034,0.000340067
15/05/96 8:00,1.5315,1.533,1.53225,0,0,17,7,-10,0,-3,-0.001044182,-0.000453482
16/05/96 10:00,1.5345,1.5342,1.53435,0.418045338,0.626403187,137,64,-73,0,-9,0,0.000849892
16/05/96 11:00,1.5342,1.5345,1.53435,0.519542339,0.834620218,143,58,-85,2,-27,-0.000195523,-8.49144E-05
16/05/96 12:00,1.5346,1.5347,1.53465,0.559964826,0.381385036,159,68,-91,0,-23,0.000260688,0.000113215
16/05/96 13:00,1.5353,1.5352,1.53525,0.299494524,0.710100292,117,66,-51,3,15,0.000456041,0.000198056
16/05/96 14:00,1.5382,1.5364,1.5373,1.02823768,1.034078422,230,134,-96,0,38,0.0018871,0.000819557
16/05/96 15:00,1.5367,1.5366,1.53665,0.298861476,0.354516316,152,96,-56,2,40,-0.000975642,-0.000423716
16/05/96 16:00,1.5368,1.5367,1.53675,0.419956708,0.548482756,214,137,-77,0,60,6.51E-05,2.82606E-05
16/05/96 17:00,1.5353,1.5345,1.5349,0.6244998,0.646669791,146,77,-69,0,8,-0.000976531,-0.000424102
16/05/96 18:00,1.5328,1.5305,1.53165,0.895781359,1.363457059,181,70,-111,0,-41,-0.001629673,-0.000707758
17/05/96 6:00,1.53,1.5295,1.52975,0.720858075,0.761577311,52,28,-24,0,4,-0.001828393,-0.000794061
17/05/96 7:00,1.5304,1.5301,1.53025,0.400227208,0.734176513,132,56,-76,0,-20,0.000261404,0.000113526
17/05/96 8:00,1.5305,1.5304,1.53045,0.585364429,0.88660059,238,125,-113,1,12,6.53E-05,2.83769E-05
17/05/96 9:00,1.5297,1.5296,1.52965,0.633652232,0.559423404,232,119,-113,1,6,-0.000522842,-0.000227067
17/05/96 10:00,1.5291,1.5293,1.5292,0.298481003,0.296954236,274,104,-170,0,-66,-0.000392311,-0.000170378
17/05/96 11:00,1.5296,1.5296,1.5296,0.450168319,0.20045403,192,94,-98,1,-4,0.000326936,0.000141987
17/05/96 12:00,1.5304,1.5302,1.5303,0.216724934,0.178164037,213,143,-70,0,73,0.000522876,0.000227082
17/05/96 13:00,1.5305,1.5305,1.5305,0.164224532,0.339674532,143,74,-69,3,5,6.53E-05,2.83769E-05
17/05/96 14:00,1.5294,1.5293,1.52935,0.678232998,0.711379369,445,240,-205,1,35,-0.000718978,-0.000312248
17/05/96 15:00,1.5285,1.5282,1.52835,0.846740631,0.912663435,556,256,-300,1,-44,-0.000588639,-0.000255643
17/05/96 16:00,1.5262,1.5262,1.5262,0.91100178,0.91000333,377,142,-235,0,-93,-0.001505876,-0.000653994
17/05/96 17:00,1.528,1.5279,1.52795,0.852225251,0.828059067,178,112,-66,1,46,0.001178705,0.000511905
17/05/96 18:00,1.5298,1.5294,1.5296,1.15794358,0.923760431,90,45,-45,1,0,0.001177317,0.000511302
20/05/96 6:00,1.536,1.5363,1.53615,0.175809815,0.320936131,28,22,-6,0,16,0.004044627,0.001756559
20/05/96 7:00,1.536,1.5352,1.5356,0.608027113,0.391964748,104,71,-33,0,38,0,0
20/05/96 8:00,1.5357,1.5356,1.53565,0.557320429,0.603524999,158,82,-76,1,6,-0.000195332,-8.48314E-05
20/05/96 9:00,1.5365,1.5365,1.5365,0.294906251,0.269679945,315,168,-147,0,21,0.000520799,0.00022618
20/05/96 10:00,1.5358,1.5357,1.53575,0.879178335,0.540131858,217,115,-102,2,13,-0.000455685,-0.000197901
20/05/96 11:00,1.5355,1.538,1.53675,0.292714568,0.58749597,202,108,-94,2,14,-0.000195357,-8.48425E-05
20/05/96 12:00,1.5381,1.5363,1.5372,0.608276253,0.454939223,132,62,-70,0,-8,0.001691828,0.000734751
20/05/96 13:00,1.5363,1.5361,1.5362,0.297871235,0.717318238,109,62,-47,1,15,-0.00117096,-0.000508542
20/05/96 14:00,1.5368,1.5363,1.53655,0.976504279,0.431610795,209,106,-103,0,3,0.000325404,0.000141321
20/05/96 15:00,1.5343,1.5347,1.5345,0.721267823,0.643616675,287,125,-162,1,-37,-0.001628082,-0.000707067
20/05/96 16:00,1.5346,1.5346,1.5346,0.377391365,0.405548637,263,116,-147,2,-31,0.00019551,8.49088E-05
20/05/96 17:00,1.534,1.5339,1.53395,0.971721372,0.692601595,188,95,-93,1,2,-0.000391058,-0.000169834
20/05/96 18:00,1.5342,1.5341,1.53415,0.535638956,0.542115199,72,40,-32,0,8,0.00013037,5.66188E-05
21/05/96 6:00,1.5328,1.5327,1.53275,0.054772256,0.154919334,30,10,-20,0,-10,-0.000912944,-0.000396487
21/05/96 7:00,1.5334,1.5332,1.5333,0.724875468,0.304212844,80,27,-53,0,-26,0.000391364,0.000169967
21/05/96 8:00,1.5342,1.5343,1.53425,0.584392977,0.532788548,201,102,-99,4,3,0.00052158,0.000226519
21/05/96 9:00,1.5327,1.5327,1.5327,0.471859635,0.49443877,344,140,-204,1,-64,-0.000978187,-0.000424821
21/05/96 10:00,1.5337,1.5335,1.5336,0.294906251,0.262274434,261,150,-111,1,39,0.000652231,0.00028326
21/05/96 11:00,1.5357,1.5357,1.5357,0.821814327,1.228789747,210,120,-90,3,30,0.001303186,0.000565967
21/05/96 12:00,1.5395,1.539,1.53925,1.010700327,1.143625283,851,481,-370,1,111,0.002471385,0.001073309
21/05/96 13:00,1.5415,1.5413,1.5414,0.801702733,0.666230918,572,316,-256,1,60,0.00129828,0.000563836
21/05/96 14:00,1.5417,1.5422,1.54195,0.559964826,0.843648282,432,243,-189,1,54,0.000129735,5.63433E-05
21/05/96 15:00,1.5413,1.542,1.54165,0.414143878,0.581273419,493,204,-289,1,-85,-0.000259488,-0.000112694
21/05/96 16:00,1.5416,1.5411,1.54135,0.305505046,0.362650178,308,176,-132,3,44,0.000194622,8.45232E-05
21/05/96 17:00,1.5415,1.5413,1.5414,0.773960691,0.393892771,214,109,-105,0,4,-6.49E-05,-2.81726E-05
21/05/96 18:00,1.5445,1.5432,1.54385,0.811035004,0.682408835,129,83,-46,0,37,0.001944265,0.000844384
22/05/96 6:00,1.545,1.5433,1.54415,0.81240384,0.27774603,56,28,-28,0,0,0.000323677,0.000140571
22/05/96 7:00,1.5436,1.5437,1.54365,0.764357524,0.503548018,114,64,-50,4,14,-0.00090656,-0.000393714
22/05/96 8:00,1.5443,1.5432,1.54375,0.398767039,0.760980229,321,168,-153,3,15,0.000453383,0.000196902
22/05/96 9:00,1.5418,1.5418,1.5418,0.574456265,0.523030215,515,221,-294,2,-73,-0.001620168,-0.00070363
22/05/96 10:00,1.5414,1.5413,1.54135,0.634070544,0.698645876,413,180,-233,1,-53,-0.000259471,-0.000112687
22/05/96 11:00,1.542,1.5418,1.5419,0.253908836,0.829156198,236,115,-121,2,-6,0.000389181,0.000169019
22/05/96 12:00,1.5411,1.5417,1.5414,0.580751864,0.347610894,222,102,-120,0,-18,-0.000583828,-0.000253553
22/05/96 13:00,1.5415,1.5414,1.54145,0.42604595,0.429499356,267,133,-134,1,-1,0.000259521,0.000112709
22/05/96 14:00,1.541,1.5415,1.54125,0.367114052,0.292714568,227,103,-124,3,-21,-0.000324412,-0.00014089
22/05/96 15:00,1.5414,1.5415,1.54145,0.802080628,0.407784108,265,135,-130,2,5,0.000259538,0.000112716
22/05/96 16:00,1.5388,1.5393,1.53905,1.248635619,1.105769991,368,174,-194,2,-20,-0.001688202,-0.000733177
22/05/96 17:00,1.5396,1.5394,1.5395,0.967940644,1.129682176,333,182,-151,0,31,0.000519751,0.000225725
22/05/96 18:00,1.5423,1.5426,1.54245,1.081350166,1.168105174,167,84,-83,1,1,0.001752166,0.000760956
23/05/96 6:00,1.543,1.543,1.543,0.535412613,0.930053762,48,27,-21,0,6,0.000453765,0.000197067
23/05/96 7:00,1.5426,1.5424,1.5425,0.345972498,0.204049905,102,65,-37,0,28,-0.000259269,-0.000112599
23/05/96 8:00,1.5416,1.54,1.5408,0.61348483,1.003478797,258,111,-147,0,-36,-0.000648466,-0.000281625
23/05/96 9:00,1.5424,1.5426,1.5425,0.34234043,0.427377486,311,184,-127,4,57,0.000518807,0.000225315
23/05/96 10:00,1.5449,1.5444,1.54465,1.255865028,1.347950183,850,481,-369,4,112,0.001619538,0.000703357
23/05/96 11:00,1.5435,1.5434,1.54345,0.287491765,0.557592226,380,172,-208,2,-36,-0.000906618,-0.000393739
23/05/96 12:00,1.545,1.5436,1.5443,0.424531828,0.50722059,179,85,-94,0,-9,0.000971345,0.00042185
23/05/96 13:00,1.5444,1.5435,1.54395,0.183195541,0.730504185,173,76,-97,2,-21,-0.000388425,-0.000168691
23/05/96 14:00,1.5436,1.5435,1.54355,0.566421516,0.520707561,315,159,-156,2,3,-0.000518135,-0.000225023
23/05/96 15:00,1.5416,1.5419,1.54175,1.016082793,0.983923808,378,165,-213,3,-48,-0.001296513,-0.000563068
